GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tienda-ms-pedidos,com.example.tienda_ms_pedidos.controller,ProductoController,0,35,0,0,0,10,0,4,0,4
tienda-ms-pedidos,com.example.tienda_ms_pedidos.controller,OrdenController,0,52,0,0,0,11,0,7,0,7
tienda-ms-pedidos,com.example.tienda_ms_pedidos.controller,DetalleOrdenController,46,45,1,1,9,10,1,7,0,7
tienda-ms-pedidos,com.example.tienda_ms_pedidos.model,DetalleOrden,0,45,0,0,0,19,0,13,0,13
tienda-ms-pedidos,com.example.tienda_ms_pedidos.model,Orden,0,63,0,0,0,25,0,15,0,15
tienda-ms-pedidos,com.example.tienda_ms_pedidos.model,Categoria,0,36,0,0,0,14,0,9,0,9
tienda-ms-pedidos,com.example.tienda_ms_pedidos.model,Producto,0,57,0,0,0,23,0,15,0,15
tienda-ms-pedidos,com.example.tienda_ms_pedidos.exception,StockException,0,4,0,0,0,2,0,1,0,1
tienda-ms-pedidos,com.example.tienda_ms_pedidos.service,ProductoServiceImpl,0,123,0,6,0,29,0,9,0,6
tienda-ms-pedidos,com.example.tienda_ms_pedidos.service,DetalleOrdenServiceImpl,0,138,0,0,0,32,0,7,0,7
tienda-ms-pedidos,com.example.tienda_ms_pedidos.service,OrdenServiceImpl,0,128,0,0,0,30,0,8,0,8
tienda-ms-pedidos,com.example.tienda_ms_pedidos.config,WebConfig,0,45,0,0,0,6,0,2,0,2
tienda-ms-pedidos,com.example.tienda_ms_pedidos,App,0,8,0,0,0,3,0,2,0,2
